,Yards Gained,3 secs,4 secs,5 secs,6 secs,7 secs,8 secs,9 secs,10 secs,11 secs,12 secs,13 secs,14 secs,15 secs,16 secs,17 secs,18 secs,19 secs,20 secs,21 secs,22 secs
34,0.0,6.0007429507600225e-05,0.0011958257020037136,0.012726951851419218,0.07079928761235128,0.20656891847169256,0.3168837600459711,0.255856027259307,0.10867220407464984,0.024231797452659687,0.002827663861020624,0.00017203130407228429,5.4353294420828036e-06,8.88535750531716e-08,7.490732478743212e-10,3.2475133693310454e-12,7.216449660063518e-15,0.0,0.0,0.0,1.0
35,31.0,0.0060607971934645444,0.011905219025123764,0.027854230350381218,0.05517200348687259,0.09251914021055863,0.1313525297081065,0.15788662283875948,0.16067764374477783,0.13844239454422536,0.10099123880505556,0.06237259547424745,0.03261303726085685,0.014436606311364453,0.005410059103409415,0.0017162721956389682,0.00046089250537262316,0.00010476652774016326,2.015734129023894e-05,3.2825292994864697e-06,0.9999994891565451
36,57.0,0.0030567422417747104,0.007286181647740517,0.01932425578123246,0.04278815344780816,0.07910046297446255,0.12209065317905543,0.15734146349713385,0.16930388244180372,0.15210911338901545,0.11410528732474445,0.07146809339832683,0.03737354887593958,0.01631730084427463,0.005947668794253569,0.0018098355163704838,0.0004597288661412069,9.74784515326288e-05,1.725167307820019e-05,2.5482334641280247e-06,0.9999996505781525
37,29.0,0.010110389791917385,0.017767180317527997,0.0384564510321185,0.07055965472172433,0.109746386304439,0.14470312760010856,0.16174250769730691,0.15326072525850687,0.12311107334311555,0.08383380881364377,0.048393906533507836,0.023681133127774756,0.009822973343757924,0.003453807456100355,0.0010293230864648617,0.00026000725917219025,5.566462889727841e-05,1.0099771899807486e-05,1.5529560337679271e-06,0.9999997730440177
38,74.0,0.0007709847844699757,0.0015322813472259068,0.00390639919408025,0.008920474684459681,0.018246367574581444,0.033430693684040814,0.05486530330552315,0.08065587638926186,0.1062091577623438,0.12527862866310946,0.13236766522180732,0.12527862866310946,0.10620915776234374,0.08065587638926197,0.05486530330552308,0.033430693684040835,0.018246367574581424,0.008920474684459667,0.003906399194080312,0.9976967338683042
39,55.0,0.0033531751361573696,0.007630945162316393,0.01970585768609605,0.04275839738389101,0.07795988783193053,0.11944178170055303,0.15377472544745646,0.16636511050585956,0.15124802446591623,0.11554880172742088,0.07417954238696745,0.040016322055186127,0.01813897046460966,0.006908688600759327,0.002210896192884726,0.000594443326015548,0.00013427624944151173,2.548060875484648e-05,4.0617733040315684e-06,0.9999993887055207
40,13.0,6.302322506040695e-05,0.00019826447250171633,0.0006940998711200972,0.0021295620915898596,0.005726095820890136,0.013493813531307587,0.027869264218675572,0.050447187247716595,0.08003390378422737,0.11128599612209328,0.13562485990717033,0.14486785941529412,0.13562485990717033,0.11128599612209333,0.08003390378422726,0.050447187247716685,0.027869264218675527,0.01349381353130763,0.00572609582089012,0.9969150503397279
41,23.0,0.0003019546036619388,0.0022041889690823987,0.01202526268164656,0.044963954192170905,0.11529204261508728,0.20280704164969016,0.24481111057732147,0.2028070416496902,0.1152920426150873,0.04496395419217092,0.012025262681646498,0.0022041889690824767,0.0002767220216831623,2.3777579563399875e-05,1.3973167486414084e-06,5.611742726063795e-08,1.5390636542989e-09,2.880484739620215e-11,3.6770586575585185e-13,0.9999999999999968
42,-1.0,0.13326026290250537,0.05377113584293586,0.06546113880148169,0.07586810573496233,0.08370980458905736,0.0879295521290574,0.0879295521290574,0.0837098045890573,0.07586810573496239,0.06546113880148163,0.05377113584293591,0.04204904317663749,0.031304312623095965,0.022186727289371655,0.014970047865221048,0.009615986257158093,0.0058803745661533124,0.0034233905572780277,0.0018973522976079016,0.9980669717300181
43,25.0,0.0022298167399109232,0.006515636262903229,0.019400495878737208,0.04660185516085996,0.09031479389351499,0.14122249622218197,0.1781782504556741,0.18139278395793768,0.1490048838473199,0.09876175931442022,0.05281651171527024,0.02278874568864131,0.007932518958086665,0.0022274376523632178,0.0005045007134076851,9.215798023032296e-05,1.3575884341809896e-05,1.6125500501562584e-06,1.544228892536026e-07,0.9999999872987408
